product_type,sales_office,sales_volume,gross_sales,raw_materials,packaging,other_direct_cost,variable_manufacturing,fixed_manufacturing,warehouse,trans_primary,trans_delivery,month
PET CF,South,25442,114536,770986533,26135,1589,4692,10625,2190,751,5324,1
PET CF,Central,17,70,511394,17,1,3,7,1,0,4,1
PET CF,North,2486,11189,75345305,2554,155,459,1038,214,73,520,1
PET CF,South,12271,75395,715107177,14304,767,3724,5124,1056,375,2642,1
PET CF,South,39204,240934,2284690160,45698,2449,11899,16372,3375,1198,8440,1
PET CF,South,63915,392706,3724738994,74502,3993,19399,26691,5502,1954,13760,1
PET CF,Central,9158,56261,533684439,10675,572,2780,3824,788,280,1972,1
PET CF,North,3854,23677,224600787,4492,241,1170,1609,332,118,830,1
PET CF,North,35959,220916,2095587161,41916,2246,10914,15017,3096,1099,7742,1
PET CF,South,6424,28912,195506844,6580,401,1095,2683,553,190,1344,1
PET CF,South,18091,81446,550569186,18530,1130,3085,7555,1557,534,3786,1
PET CF,South,45401,204329,1381730068,46504,2836,7741,18960,3908,1341,9501,1
PET CF,Central,-108,-482,-3277197,-110,-7,-18,-45,-9,-3,-23,1
PET CF,South,8558,52584,500892034,9778,535,2588,3574,737,262,1843,1
PET CF,South,33476,205730,1959263883,38246,2091,10123,13980,2882,1023,7207,1
PET CF,South,66884,410950,3914530036,76413,4178,20224,27931,5758,2044,14400,1
PET CF,Central,5374,33033,314550791,6140,336,1625,2244,463,164,1157,1
PET CF,South,17971,117440,1333385313,21183,1123,5279,7505,1547,849,3869,1
PET CF,South,71763,469113,5324597557,84589,4483,21081,29969,6178,3389,15450,1
PET CF,South,119354,779958,8855686632,140685,7456,35062,49843,10275,5636,25696,1
PET CF,Central,11058,72272,820494356,13035,691,3249,4618,952,522,2381,1
PET CF,North,1167,7625,86574944,1375,73,343,487,100,55,251,1
PET CF,North,3391,22162,251615885,3997,212,996,1416,292,160,730,1
PMX,South,16,292,2569941,23,1,9,7,1,0,4,1
PMX,South,1,1,128497,1,0,0,0,0,0,0,1
PMX,North,-2,-1,-256994,-2,0,-1,-1,0,0,0,1
RGB CF,South,12215,27269,283769790,1623,763,1894,9011,1052,230,4476,1
RGB CF,South,4082,8133,94838851,542,255,633,3012,351,77,1496,1
RGB CF,Central,2861,5564,66461872,380,179,444,2110,246,54,1048,1
RGB CF,South,2122,4736,49519596,281,133,382,1565,183,40,777,1
RGB CF,South,8100,16165,189074820,1073,506,1458,5976,697,152,2969,1
RGB CF,Central,129,13041,3001188,17,8,23,95,11,2,47,1
CAN CF,South,3510,15386,65963165,5717,219,604,1466,302,127,596,1
CAN CF,South,5104,22381,95924455,8314,319,878,2132,439,185,866,1
CAN CF,South,1741,7632,32724857,2836,109,300,727,150,63,296,1
CAN CF,Central,2009,8807,37753643,3272,125,346,839,173,73,341,1
CAN CF,North,42,183,785275,68,3,7,17,4,2,7,1
CAN CF,South,84,366,2356565,134,5,14,35,7,3,14,1
CAN CF,South,133,585,3761439,214,8,23,56,11,5,23,1
CAN CF,Central,7,27,203933,12,0,1,3,1,0,1,1
PET CF,South,4744,21354,145919052,5262,296,1047,1981,408,303,623,1
PET CF,South,1157,5209,35590012,1283,72,255,483,100,74,152,1
PET CF,South,1164,5240,35787735,1291,73,257,486,100,74,153,1
PET CF,Central,405,1823,12456504,449,25,89,169,35,26,53,1
PET CF,North,2777,12498,85416030,3080,173,613,1160,239,178,365,1
PET CF,North,1802,8108,55411671,1998,113,398,752,155,115,237,1
RGB CF,North,3407,7600,67064137,481,213,481,2514,293,0,1594,1
RGB CF,North,2122,4732,41756915,300,133,299,1565,183,0,992,1
CAN CF,Central,19556,96422,438339255,33956,1222,3018,8167,1684,850,2090,1
PET CF,South,33903,188405,1149440511,40906,2118,7161,14158,2919,1496,8784,1
PET CF,South,74527,414261,2526758444,89922,4655,15741,31123,6416,3288,19310,1
PET CF,South,15907,88413,539315342,19193,994,3360,6643,1369,702,4122,1
PET CF,Central,66144,367362,2242511059,79807,4132,13970,27622,5694,2918,17138,1
PET CF,North,3375,18754,114429120,4072,211,713,1409,291,149,875,1
PET CF,North,2596,14419,88001443,3132,162,548,1084,223,115,673,1
PET CF,South,26283,138845,749242161,30121,1642,4557,10976,2263,590,4803,1
PET CF,South,31869,168415,908473587,36522,1991,5525,13309,2743,715,5823,1
PET CF,South,23296,123063,664094238,26698,1455,4039,9729,2005,523,4257,1
PET CF,Central,18900,99842,538766209,21659,1181,3277,7893,1627,424,3453,1
PET CF,North,3877,20478,110506747,4443,242,672,1619,334,87,708,1
PET CF,North,4302,22728,122647828,4931,269,746,1797,370,97,786,1
PET CF,South,3,21,0,0,19,0,1,0,0,0,1
PET CF,North,-1,-5,0,0,-5,0,0,0,0,0,1
Water,South,57715,158137,3601123,43527,5724,8194,24102,4968,3206,11646,1
