product_type,sales_office,sales_volume,gross_sales,raw_materials,packaging,other_direct_cost,variable_manufacturing,fixed_manufacturing,warehouse,trans_primary,trans_delivery,month
PET HF,North,64,360,1743699,84,4,27,27,6,14,11,1
PET HF,North,124,703,3356621,161,8,52,52,11,27,22,1
PET HF,South,2593,12060,66906481,3082,162,982,1083,223,155,521,1
PET HF,South,3213,15143,82891885,3818,201,1216,1342,277,192,646,1
PET HF,South,2093,9844,53989612,2487,131,792,874,180,125,421,1
PET HF,Central,861,3791,22226138,1024,54,326,360,74,52,173,1
PET HF,North,290,1324,7484735,345,18,110,121,25,17,58,1
PET HF,North,976,4379,25170272,1159,61,369,407,84,58,196,1
PET HF,South,6181,39088,207325086,7723,386,3007,2581,532,322,764,1
PET HF,South,6415,40490,215168507,8015,401,3120,2679,552,334,793,1
PET HF,South,1302,8445,43664410,1627,81,633,544,112,68,161,1
PET HF,Central,76,519,2560568,95,5,37,32,7,4,9,1
PET HF,North,393,2502,13180183,491,25,191,164,34,20,49,1
PET HF,North,218,1353,7304355,272,14,106,91,19,11,27,1
PET HF,South,309,1443,8184610,362,19,116,129,27,11,87,1
PET HF,South,47,226,1257531,56,3,18,20,4,2,13,1
PET HF,South,144,675,3815222,169,9,54,60,12,5,40,1
PET HF,Central,121,555,3197113,141,8,45,50,10,4,34,1
PET HF,North,531,2463,14088614,623,33,199,222,46,19,149,1
PET HF,North,535,2401,14195184,627,33,201,224,46,20,150,1
PET HF,South,208,1319,7176454,252,13,95,87,18,31,25,1
PET HF,South,36,221,1246874,44,2,16,15,3,5,4,1
PET HF,South,59,378,2050416,72,4,27,25,5,9,7,1
PET HF,North,7,34,249375,9,0,3,3,1,1,1,1
PET HF,South,749,4812,28129429,920,47,372,313,64,28,75,1
PET HF,South,612,4099,22998525,752,38,304,256,53,23,61,1
PET HF,South,129,835,4859268,159,8,64,54,11,5,13,1
PET HF,Central,76,468,2837088,93,5,38,32,7,3,8,1
PET HF,North,258,1659,9688355,317,16,128,108,22,10,26,1
PET HF,North,104,649,3893451,127,6,52,43,9,4,10,1
PET HF,South,17,110,505253,21,1,8,7,1,0,2,1
PET HF,South,4,26,120299,5,0,2,2,0,0,1,1
PET HF,South,5,31,144358,6,0,2,2,0,0,1,1
PET HF,Central,4,26,120299,5,0,2,2,0,0,1,1
PET HF,North,18,119,553373,23,1,9,8,2,0,3,1
PET HF,North,27,174,818028,34,2,13,11,2,0,4,1
CAN HF,South,25,190,1194875,44,2,31,10,2,3,2,1
CAN HF,South,1,7,38544,1,0,1,0,0,0,0,1
CAN HF,Central,2,10,77089,3,0,2,1,0,0,0,1
CAN HF,North,29,209,1387597,51,2,37,12,2,3,2,1
CAN HF,North,63,492,3045004,111,4,80,27,5,7,5,1
CAN HF,South,100,761,4580219,175,6,126,42,9,32,7,1
CAN HF,South,14,99,627933,24,1,17,6,1,4,1,1
CAN HF,Central,4,25,184686,7,0,5,2,0,1,0,1
CAN HF,North,33,234,1514428,58,2,42,14,3,11,2,1
CAN HF,North,153,1121,7055015,269,10,194,64,13,49,11,1
CAN CF,South,602,4758,15503090,1063,38,100,251,52,63,76,1
CAN CF,South,122,965,3146154,216,8,20,51,11,13,15,1
CAN CF,Central,76,603,1966347,135,5,13,32,7,8,10,1
CAN CF,North,114,902,2939171,202,7,19,48,10,12,14,1
PET CF,South,130,734,3960928,135,8,24,54,11,4,27,1
PET CF,South,34,190,1026908,35,2,6,14,3,1,7,1
PET CF,Central,19,109,586805,20,1,4,8,2,1,4,1
PET CF,North,31,177,953557,33,2,6,13,3,1,7,1
CAN CF,South,92,724,2342933,158,6,15,38,8,10,12,1
CAN CF,South,52,413,1335883,90,3,9,22,4,5,7,1
CAN CF,Central,20,159,513801,35,1,3,8,2,2,3,1
CAN CF,North,39,311,1007050,68,2,7,16,3,4,5,1
PET CF,South,123,693,3706060,130,8,22,51,11,4,26,1
PET CF,South,60,340,1816697,64,4,11,25,5,2,13,1
PET CF,Central,10,54,290671,10,1,2,4,1,0,2,1
PET CF,North,13,72,387563,14,1,2,5,1,0,3,1
CAN CF,South,7,52,185487,12,0,1,3,1,0,1,1
CAN CF,South,1,6,20610,1,0,0,0,0,0,0,1
CAN CF,Central,3,23,82438,6,0,0,1,0,0,1,1
CAN CF,North,9,63,226707,15,1,1,4,1,1,2,1
CAN CF,South,25,140,641550,43,2,4,10,2,1,3,1
CAN CF,South,19,109,496684,33,1,3,8,2,0,2,1
CAN CF,Central,5,27,124171,8,0,1,2,0,0,1,1
CAN CF,South,7,54,236150,13,0,1,3,1,0,1,1
CAN CF,South,12,91,393584,21,1,2,5,1,0,2,1
CAN CF,North,4,30,131195,7,0,1,2,0,0,1,1
PET CF,South,3,18,97408,3,0,1,1,0,0,1,1
PET CF,South,2,9,48705,2,0,0,1,0,0,0,1
PET CF,North,2,9,48705,2,0,0,1,0,0,0,1
PET CF,South,8,45,244567,8,1,1,3,1,0,2,1
PET CF,South,2,9,48913,2,0,0,1,0,0,0,1
PET CF,South,6,46,417372,7,0,2,2,0,0,1,1
PET CF,South,6,46,417372,7,0,2,2,0,0,1,1
PET CF,Central,4,33,298122,5,0,1,2,0,0,1,1
PET CF,North,3,26,238498,4,0,1,1,0,0,1,1
CAN CF,South,6,28,105710,9,0,1,2,0,0,1,1
CAN CF,South,2,12,45304,4,0,0,1,0,0,0,1
CAN CF,North,2,8,30203,3,0,0,1,0,0,0,1
CAN CF,South,10,59,294570,17,1,2,4,1,0,2,1
PET CF,South,2,14,74146,3,0,1,1,0,0,0,1
PET CF,South,1,5,24715,1,0,0,0,0,0,0,1
PET CF,South,2,17,68723,3,0,0,1,0,0,0,1
PET CF,Central,1,6,22908,1,0,0,0,0,0,0,1
PET CF,North,2,11,45815,2,0,0,1,0,0,0,1
PET CF,South,8,53,0,0,46,0,2,1,0,1,1
PET CF,South,1,5,0,0,5,0,0,0,0,0,1
PET CF,Central,2,11,0,0,9,0,0,0,0,0,1
PET CF,North,3,21,0,0,19,0,1,0,0,0,1
PET CF,Central,1,5,0,0,5,0,0,0,0,0,1
Water,South,93,310,5816,70,9,13,39,8,5,19,1
Water,South,10,32,601,7,1,1,4,1,1,2,1
Water,South,10,37,849,8,1,2,4,1,0,2,1
Water,South,2,9,212,2,0,0,1,0,0,1,1
Water,South,12,46,929,11,2,4,5,1,1,2,1
Water,South,2,6,124,2,0,1,1,0,0,0,1
Water,Central,5,18,371,5,1,2,2,0,0,1,1
Water,South,10,29,0,12,2,4,4,1,2,1,1
Water,Central,2,7,0,3,1,1,1,0,1,0,1
Water,North,7,22,0,9,2,3,3,1,2,1,1
CAN CF,South,16,126,702033,27,1,2,7,1,0,3,1
CAN CF,South,4,31,175508,7,0,1,2,0,0,1,1
CAN CF,South,8,53,286995,14,1,2,5,1,1,3,1
CAN CF,South,3,21,114798,6,0,1,2,0,0,1,1
CAN CF,Central,1,5,28700,1,0,0,0,0,0,0,1
CAN CF,North,4,27,143497,7,0,1,2,0,0,2,1
PET CF,South,2,19,105134,2,0,0,1,0,0,0,1
PET CF,South,2,19,105134,2,0,0,1,0,0,0,1
PET CF,Central,1,6,35045,1,0,0,0,0,0,0,1
PET CF,North,2,12,62691,2,0,0,1,0,0,0,1
CAN HF,South,6,44,238611,10,0,1,2,0,1,1,1
CAN HF,South,2,13,68175,3,0,0,1,0,0,0,1
CAN HF,North,6,44,238611,10,0,1,2,0,1,1,1
PET HF,South,3,25,148616,4,0,1,1,0,0,0,1
PET HF,North,2,12,74307,2,0,1,1,0,0,0,1
PET HF,South,3,26,193200,4,0,1,1,0,0,0,1
PET HF,North,2,20,144901,3,0,1,1,0,0,0,1
PET HF,South,6,49,363736,8,0,2,3,1,0,1,1
PET HF,Central,1,6,45467,1,0,0,0,0,0,0,1
CAN HF,South,2,17,85671,4,0,0,1,0,0,0,1
CAN HF,South,3,23,114227,6,0,0,1,0,0,0,1
PET HF,South,1,6,21886,1,0,0,0,0,0,0,1
PET HF,South,8,55,217963,10,1,3,3,1,2,1,1
PET HF,South,7,50,196166,9,0,3,3,1,2,1,1
PET HF,North,5,33,130777,6,0,2,2,0,1,1,1
PET HF,South,230,1304,5929735,273,14,87,96,20,14,46,1
PET HF,South,52,296,1347667,62,3,20,22,4,3,10,1
PET HF,Central,27,150,684200,32,2,10,11,2,2,5,1
PET HF,North,41,233,1057400,49,3,16,17,4,2,8,1
PET HF,South,74,535,2479707,92,5,36,31,6,4,9,1
PET HF,South,12,87,404300,15,1,6,5,1,1,1,1
PET HF,North,6,47,215627,8,0,3,3,1,0,1,1
PET HF,South,8,58,277083,10,1,4,3,1,1,1,1
PET HF,South,2,17,90545,3,0,1,1,0,0,0,1
PET HF,Central,1,6,30181,1,0,0,0,0,0,0,1
PET HF,North,1,6,24060,1,0,0,0,0,0,0,1
CAN HF,South,6,45,269811,10,0,7,2,0,1,0,1
CAN HF,North,2,19,115633,4,0,3,1,0,0,0,1
CAN HF,South,3,26,147749,6,0,4,1,0,1,0,1
CAN HF,North,2,13,73874,3,0,2,1,0,1,0,1
CAN CF,South,44044,302426,1141179603,72815,3881,5862,15152,3415,2829,5754,2
CAN CF,South,115396,790277,2989933036,190779,10169,15358,39699,8947,7411,15076,2
CAN CF,South,32167,220464,833460049,53181,2835,4281,11066,2494,2066,4203,2
CAN CF,Central,143246,980659,3711519671,236821,12623,19064,49280,11106,9200,18715,2
CAN CF,North,11197,77115,290125467,18512,987,1490,3852,868,719,1463,2
CAN CF,North,25927,177729,671761012,42863,2285,3450,8919,2010,1665,3387,2
CAN CF,South,42,236,1163922,66,4,7,14,3,3,5,2
CAN CF,South,217,1223,6043443,344,19,34,75,17,14,28,2
CAN CF,South,-14,-68,-402896,-23,-1,-2,-5,-1,-1,-2,2
CAN CF,Central,92,452,2574058,146,8,14,32,7,6,12,2
CAN CF,North,-1,-4,-22383,-1,0,0,0,0,0,0,2
CAN CF,North,-5,-23,-134299,-8,0,-1,-2,0,0,-1,2
PET CF,North,4074,15305,105515989,4809,359,604,1402,316,0,1001,2
PET CF,South,34311,155039,1050140825,34345,3023,6015,11804,2660,2083,6977,2
PET CF,South,63783,287063,1952215140,63848,5621,11182,21943,4945,3872,12971,2
PET CF,South,31000,139600,948806269,31031,2732,5435,10665,2403,1882,6304,2
PET CF,Central,22103,99516,676506544,22125,1948,3875,7604,1714,1342,4495,2
PET CF,North,-1,-4,-24595,-1,0,0,0,0,0,0,2
PET CF,North,6463,29119,197799150,6469,569,1133,2223,501,392,1314,2
PET CF,South,8380,52294,493240156,9643,738,2352,2883,650,298,2208,2
PET CF,South,26837,166991,1579617207,30882,2365,7531,9233,2081,955,7071,2
PET CF,South,10403,64737,612340531,11971,917,2920,3579,807,370,2741,2
PET CF,Central,12989,80851,764503322,14946,1145,3645,4468,1007,462,3422,2
PET CF,North,3074,19246,180920943,3537,271,863,1057,238,109,810,2
PET CF,North,11106,69093,653680374,12779,979,3117,3821,861,395,2926,2
PMX,South,8,293,3099182,14,1,8,3,1,2,2,2
PMX,South,-8,-210,-3099182,-14,-1,-8,-3,-1,-2,-2,2
PMX,Central,2,42,619836,3,0,2,1,0,0,0,2
PMX,North,-21,-547,-8057874,-37,-2,-20,-7,-2,-4,-6,2
RGB CF,South,7554,16989,177401060,1052,666,1179,5034,586,160,2694,2
RGB CF,South,67535,150757,1586040971,9407,5951,10545,45004,5236,1433,24089,2
RGB CF,South,25739,51715,604465805,3585,2268,4019,17152,1996,546,9181,2
RGB CF,Central,34872,70061,818970109,4857,3073,5445,23238,2704,740,12439,2
RGB CF,North,4629,10505,108705330,645,408,723,3085,359,98,1651,2
RGB CF,North,6365,14228,149469830,887,561,994,4241,493,135,2270,2
CAN CF,South,29251,200852,756184198,46874,2578,4129,10063,2268,1879,3822,2
CAN CF,South,46996,321848,1214922095,75310,4141,6634,16168,3644,3018,6140,2
CAN CF,South,16590,113639,428864467,26584,1462,2342,5707,1286,1065,2167,2
CAN CF,Central,38558,264164,996792037,61789,3398,5443,13265,2989,2476,5038,2
CAN CF,North,7939,54673,205229222,12722,700,1121,2731,616,510,1037,2
CAN CF,North,17347,118860,448454624,27799,1529,2449,5968,1345,1114,2266,2
CAN CF,South,154,1045,6686323,294,14,27,53,12,0,24,2
PET CF,North,2883,10831,74303488,3460,254,445,992,224,0,709,2
PET CF,South,26500,119743,807440981,26897,2335,4833,9117,2055,1609,5389,2
PET CF,South,26326,118479,802152065,26721,2320,4801,9057,2041,1598,5354,2
PET CF,South,32011,144134,975364023,32491,2821,5838,11013,2482,1943,6510,2
PET CF,Central,9998,45030,304651283,10148,881,1823,3440,775,607,2033,2
PET CF,North,3472,15638,105778294,3524,306,633,1194,269,211,706,2
PET CF,South,9794,61120,573637726,11618,863,2960,3369,759,349,2580,2
PET CF,South,19754,122914,1156971003,23432,1741,5970,6796,1532,703,5204,2
PET CF,South,18488,115096,1082842400,21931,1629,5588,6361,1433,658,4871,2
PET CF,Central,11523,71736,674876218,13668,1015,3483,3964,893,410,3036,2
PET CF,North,10429,65294,610819692,12371,919,3152,3588,809,371,2748,2
PET CF,North,55757,347098,3265612075,66139,4913,16852,19182,4323,1984,14690,2
PMX,South,62,1126,11866751,87,5,35,21,5,0,11,2
PMX,South,-1,-16,-154114,-1,0,0,0,0,0,0,2
PMX,Central,1,16,154114,1,0,0,0,0,0,0,2
PMX,North,-7,-145,-1387023,-10,-1,-4,-2,-1,0,-1,2
RGB CF,South,7040,15833,156278044,989,620,997,4691,546,125,2529,2
RGB CF,South,25104,56031,557320328,3526,2212,3557,16729,1946,446,9021,2
RGB CF,South,24124,48099,535555577,3389,2126,3418,16076,1870,428,8668,2
RGB CF,Central,12160,24859,269954263,1708,1072,1723,8103,943,216,4369,2
RGB CF,North,1029,2334,22835148,144,91,146,685,80,18,370,2
RGB CF,North,1832,4030,40675106,257,161,260,1221,142,33,658,2
CAN CF,South,4513,27457,116005468,7255,398,426,1553,350,634,1011,2
CAN CF,South,24380,147882,626669137,39194,2148,2302,8387,1890,3426,5463,2
CAN CF,South,9425,57196,242256432,15152,830,890,3242,731,1325,2112,2
CAN CF,Central,14767,89618,379579145,23740,1301,1394,5080,1145,2075,3309,2
CAN CF,North,751,4582,19292932,1207,66,71,258,58,105,168,2
CAN CF,North,8440,51224,216952533,13569,744,797,2904,654,1186,1891,2
CAN CF,South,10948,55898,283038322,17992,965,1398,3766,849,366,1223,2
CAN CF,South,73560,374229,1901700080,120888,6482,9394,25307,5703,2462,8219,2
CAN CF,South,52048,264954,1345574652,85536,4587,6647,17906,4035,1742,5815,2
CAN CF,Central,47150,240027,1218930376,77486,4155,6022,16221,3656,1578,5268,2
CAN CF,South,17718,114033,575240583,29449,1561,2437,6095,1374,255,3190,2
CAN CF,South,62310,399897,2023021567,103568,5491,8569,21436,4831,896,11220,2
CAN CF,South,99818,640721,3240763717,165909,8796,13727,34340,7739,1436,17974,2
CAN CF,Central,26787,172079,869696551,44524,2360,3684,9216,2077,385,4824,2
CAN CF,North,8235,53170,267374161,13688,726,1133,2833,638,118,1483,2
CAN CF,North,35970,230937,1167831264,59787,3170,4947,12375,2789,517,6477,2
PET CF,South,2662,12027,80836988,2672,235,451,916,206,162,541,2
PET CF,South,8006,36033,243169962,8037,706,1357,2754,621,486,1628,2
PET CF,South,10445,47038,317246125,10485,920,1770,3593,810,634,2124,2
PET CF,North,680,3063,20648578,682,60,115,234,53,41,138,2
PET CF,North,96,475,3762887,104,8,0,16,7,0,0,2
PET CF,South,7001,43689,408915791,8067,617,1978,2409,543,249,1844,2
PET CF,South,26602,165528,1553804901,30652,2344,7515,9152,2063,947,7009,2
PET CF,South,29266,182276,1709401302,33722,2579,8268,10068,2269,1042,7711,2
PET CF,Central,9122,56699,532829666,10511,804,2577,3138,707,325,2403,2
PET CF,North,989,6194,57779538,1140,87,279,340,77,35,261,2
PET CF,North,17416,108332,1017220270,20067,1535,4920,5991,1350,620,4588,2
PET CF,South,4108,18563,125505867,4117,362,636,1413,318,249,835,2
PET CF,South,10487,47198,320393498,10510,924,1623,3608,813,637,2133,2
PET CF,South,22131,99659,676140762,22179,1950,3425,7614,1716,1344,4501,2
PET CF,Central,112,499,3412621,112,10,17,38,9,7,23,2
PET CF,South,4844,30229,284605391,5511,427,1352,1667,376,172,1276,2
PET CF,South,17138,106633,1006883637,19498,1510,4785,5896,1329,610,4515,2
PET CF,South,27867,173488,1637283634,31706,2456,7781,9587,2161,992,7342,2
PET CF,Central,6019,37367,353632114,6848,530,1680,2071,467,214,1586,2
PET CF,South,12835,84617,946937561,14869,1131,3593,4416,995,307,3382,2
PET CF,South,46996,308974,3467242825,54443,4141,13154,16168,3644,1123,12382,2
PET CF,South,93979,618195,6933477767,108871,8281,26305,32331,7286,2245,24760,2
PET CF,Central,10695,70178,789055346,12390,942,2994,3679,829,255,2818,2
PET CF,North,670,4433,49445650,776,59,188,231,52,16,177,2
PET CF,North,3287,21680,242485263,3808,290,920,1131,255,79,866,2
PMX,South,8,146,1287938,11,1,4,3,1,0,2,2
PMX,Central,-1,-16,-128794,-1,0,0,0,0,0,0,2
PMX,North,-3,-65,-515175,-5,0,-2,-1,0,0,-1,2
RGB CF,South,9740,21727,226784850,1358,858,1343,6490,755,207,3474,2
RGB CF,South,3889,7782,90564247,542,343,536,2592,302,83,1387,2
RGB CF,Central,3848,7624,89591242,536,339,531,2564,298,82,1372,2
RGB CF,South,5239,11693,122772884,729,462,814,3491,406,111,1869,2
RGB CF,South,11941,23874,279816726,1661,1052,1856,7958,926,253,4259,2
RGB CF,Central,32,63,753208,4,3,5,21,2,1,11,2
CAN CF,South,3677,16473,69101610,5663,324,572,1265,285,339,598,2
CAN CF,South,5055,22551,94984512,7784,445,787,1739,392,466,822,2
CAN CF,South,3104,13850,58319585,4779,273,483,1068,241,286,505,2
CAN CF,Central,1407,6282,26441634,2167,124,219,484,109,130,229,2
CAN CF,North,42,188,785245,64,4,7,14,3,4,7,2
CAN CF,North,58,258,1087263,89,5,9,20,4,5,9,2
CAN CF,South,141,631,3989225,228,12,22,49,11,13,23,2
CAN CF,Central,28,130,793312,45,2,4,10,2,3,5,2
PET CF,South,3934,17778,121060617,4394,347,843,1354,305,36,581,2
PET CF,South,1504,6770,46287882,1680,133,322,518,117,14,222,2
PET CF,South,868,3908,26704547,969,76,186,299,67,8,128,2
PET CF,Central,872,3927,26828180,974,77,187,300,68,8,129,2
PET CF,North,1562,7091,48068187,1745,138,335,537,121,14,231,2
PET CF,North,1594,7183,49057244,1781,140,342,548,124,15,235,2
RGB CF,North,1607,3647,31648374,239,142,258,1071,125,0,1072,2
RGB CF,North,2314,5174,45573660,345,204,371,1542,179,0,1544,2
CAN CF,Central,10976,54161,247187522,18349,967,1663,3776,851,1844,1126,2
PET CF,South,31244,174191,1064311845,36104,2753,6706,10749,2422,1813,7423,2
PET CF,South,63055,350404,2147949928,72864,5556,13534,21693,4889,3660,14981,2
PET CF,South,13360,74273,455097336,15438,1177,2868,4596,1036,775,3174,2
PET CF,Central,63028,350626,2147019202,72832,5554,13528,21683,4887,3658,14974,2
PET CF,North,3259,18234,111002690,3765,287,699,1121,253,189,774,2
PET CF,North,2150,11951,73253562,2485,189,462,740,167,125,511,2
PET CF,South,21061,111650,602112142,23287,1856,3491,7245,1633,936,3666,2
PET CF,South,15884,83916,454111286,17563,1400,2633,5465,1231,706,2765,2
PET CF,South,17248,92562,493098783,19071,1520,2859,5934,1337,767,3002,2
PET CF,Central,19335,99454,552786182,21380,1704,3205,6652,1499,859,3365,2
PET CF,North,4139,22028,118340951,4577,365,686,1424,321,184,720,2
PET CF,North,3395,18309,97066690,3754,299,563,1168,263,151,591,2
PET CF,South,-3,-21,0,0,-19,0,-1,0,0,0,2
PET CF,North,1,5,0,0,5,0,0,0,0,0,2
PET CF,South,-2,-16,0,0,-14,0,0,0,0,0,2
Water,South,90591,254600,5631345,66397,11702,12095,31166,7024,5049,17983,2
Water,South,118743,325316,7381312,87030,15338,15853,40851,9206,6618,23572,2
Water,South,65354,179342,4062559,47900,8442,8725,22484,5067,3642,12974,2
Water,Central,34076,93325,2118223,24975,4402,4549,11723,2642,1899,6764,2
Water,North,4249,11802,264104,3114,549,567,1462,329,237,843,2
Water,North,24589,67478,1528473,18022,3176,3283,8459,1906,1370,4881,2
Water,South,665333,1991854,58388336,530967,85941,106062,228892,44453,29346,149892,2
Water,South,452894,1347095,39745098,361431,58500,72359,155808,31548,19976,102032,2
Water,South,286401,852451,25133981,228562,36994,50628,98530,22205,12632,64523,2
Water,Central,305759,900261,26832795,244010,39495,54050,105189,23706,13486,68884,2
Water,North,-4,-13,-352,-3,-1,-1,-1,0,0,-1,2
Water,North,-192,-615,-16855,-153,-25,-34,-66,-15,-8,-43,2
Water,North,44200,136629,4525354,40784,5709,10918,15206,3427,0,14034,2
Water,North,124083,379390,12704180,114494,16028,30650,42688,9620,0,39399,2
Water,South,89852,283382,6899596,84845,18508,27922,30912,6966,5677,16371,2
Water,South,55259,173010,4243228,52179,11383,17172,19010,4284,3491,10068,2
Water,South,27913,87612,2143397,26357,5750,8674,9603,2164,1764,5086,2
Water,Central,58402,182287,4484627,55148,12030,18149,20092,4528,3690,10641,2
Water,North,5587,17707,428988,5275,1151,1736,1922,433,353,1018,2
Water,North,20288,63998,1557920,19158,4179,6305,6980,1573,1282,3696,2
Water,South,74696,214767,0,89434,17531,27908,25698,5791,11656,9049,2
Water,South,31160,89025,0,37308,7313,11642,10720,2416,4862,3775,2
Water,South,21744,62137,0,26034,5103,8124,7480,1686,3393,2634,2
Water,Central,27144,77584,0,32500,6371,10142,9338,2105,4236,3288,2
Water,North,12638,36595,0,15132,2966,4722,4348,980,1972,1531,2
Water,North,13329,38219,0,15959,3128,4980,4586,1033,2080,1615,2
CAN CF,South,72118,503668,3143679270,113717,6355,9028,24811,5591,764,14734,2
CAN CF,South,235820,1642713,10279520151,371842,20780,29521,81128,18283,2497,48180,2
CAN CF,South,35953,211744,1567215753,56691,3168,4501,12369,2787,381,7345,2
CAN CF,Central,17425,174030,759577701,27476,1536,2181,5995,1351,184,3560,2
CAN CF,North,6266,43836,273159331,9881,552,784,2156,486,66,1280,2
CAN CF,North,18374,133525,800947434,28973,1619,2300,6321,1425,195,3754,2
CAN CF,South,4012,23935,143671832,6507,354,1076,2088,311,59,1855,2
CAN CF,South,11315,67302,405228244,18352,997,3035,5889,877,166,5233,2
CAN CF,South,2729,16234,97738290,4426,240,732,1420,212,40,1262,2
CAN CF,Central,29793,177331,1067005108,48324,2625,7992,15506,2310,438,13779,2
CAN CF,North,7271,43530,260405196,11794,641,1950,3784,564,107,3363,2
CAN CF,North,8826,52522,316095299,14316,778,2368,4594,684,130,4082,2
PET CF,South,470733,3103338,20486321018,446188,41481,72583,161945,36496,9143,67504,2
PET CF,South,522673,3436325,22746782897,495421,46058,80592,179814,40523,10151,74953,2
PET CF,South,468754,3060562,20400218179,444313,41307,72278,161264,36343,9104,67220,2
PET CF,Central,72574,595429,3158421484,68790,6395,11190,24967,5627,1410,10407,2
PET CF,North,70702,467517,3076970017,67016,6230,10902,24324,5482,1373,10139,2
PET CF,North,141839,817475,6172825302,134443,12499,21870,48796,10997,2755,20340,2
PET CF,South,2883,18730,111369267,3226,254,270,992,224,0,407,2
PET CF,Central,63,407,2421071,70,6,6,22,5,0,9,2
PET CF,South,13790,84975,492899173,13189,1215,2488,4744,1069,343,3563,2
PET CF,South,7334,45057,262132742,7014,646,1323,2523,569,183,1895,2
PET CF,South,11467,70765,409858876,10967,1010,2069,3945,889,286,2963,2
PET CF,Central,9531,58560,340692139,9116,840,1720,3279,739,237,2463,2
PET CF,North,42998,242281,1536920519,41125,3789,7759,14793,3334,1071,11110,2
PET CF,North,76433,427838,2731999949,73102,6735,13791,26295,5926,1903,19750,2
PET CF,South,-390,-3848,-15184254,-434,-34,-71,-134,-30,-78,-167,2
PET CF,South,1337,-9941,52096082,1491,118,244,460,104,268,574,2
PET CF,South,1105,6921,43048144,1232,97,202,380,86,222,474,2
PET CF,Central,-1686,-55316,-65683641,-1879,-149,-308,-580,-131,-338,-724,2
PET CF,North,1815,-314136,70724188,2024,160,332,625,141,364,779,2
PET CF,North,11160,352065,434801913,12441,983,2038,3839,865,2237,4790,2
RGB CF,South,33108,117217,1046085785,4587,2918,4630,22063,2567,366,15077,2
RGB CF,South,79356,279613,2507305129,10994,6993,11098,52881,6153,877,36137,2
RGB CF,South,131630,464140,4158952709,18236,11599,18408,87716,10205,1455,59942,2
RGB CF,Central,30730,96324,970930107,4257,2708,4298,20478,2383,340,13994,2
RGB CF,North,21995,69710,694936115,3047,1938,3076,14657,1705,243,10016,2
RGB CF,North,22622,70784,714766043,3134,1993,3164,15075,1754,250,10302,2
RGB CF,South,2764,8871,71709973,391,244,422,1842,214,0,994,2
RGB CF,South,1704,5459,44193355,241,150,260,1135,132,0,613,2
RGB CF,Central,100096,282397,2596568078,14161,8821,15285,66703,7761,7,36004,2
RGB CF,North,19222,54906,498634461,2719,1694,2935,12809,1490,1,6914,2
RGB CF,North,23594,66624,612036278,3338,2079,3603,15722,1829,2,8487,2
RGB CF,South,-64,-228,-1818004,-9,-6,-10,-43,-5,0,-8,2
CAN HF,South,669,4591,28353669,1108,59,153,230,52,16,201,2
CAN HF,South,7371,50476,312571938,12220,649,1684,2536,571,173,2215,2
CAN HF,South,-4,-27,-170395,-7,0,-1,-1,0,0,-1,2
CAN HF,Central,16497,111771,699606337,27350,1454,3768,5675,1279,386,4958,2
CAN HF,North,63181,430171,2679353571,104747,5567,14432,21736,4898,1480,18987,2
CAN HF,North,106147,719041,4501451680,175980,9354,24247,36517,8230,2486,31900,2
CAN HF,Central,543,3680,28146592,915,48,127,187,42,33,170,2
CAN HF,North,3050,20769,158053939,5139,269,715,1049,237,188,956,2
CAN HF,North,15454,104700,800720571,26037,1362,3624,5317,1198,950,4842,2
PET HF,South,5092,32969,235352445,5807,449,1477,1752,395,167,791,2
PET HF,South,24654,159196,1139579810,28119,2172,7152,8482,1911,809,3829,2
PET HF,South,17153,110756,792865837,19564,1512,4976,5901,1330,563,2664,2
PET HF,Central,18882,122055,872802464,21536,1664,5478,6496,1464,620,2933,2
PET HF,North,5495,35693,253999372,6267,484,1594,1890,426,180,853,2
PET HF,North,13527,87352,625266368,15428,1192,3924,4654,1049,444,2101,2
PET HF,South,34474,243464,2071591837,41415,3038,11661,11860,2673,520,4844,2
PET HF,South,44915,316384,2698960628,53957,3958,15193,15452,3482,678,6311,2
PET HF,South,24073,169680,1446589199,28920,2121,8143,8282,1866,363,3383,2
PET HF,Central,289,1966,17383987,348,25,98,100,22,4,41,2
PET HF,North,481,3409,28925024,578,42,163,166,37,7,68,2
PET HF,North,3157,22252,189678619,3792,278,1068,1086,245,48,444,2
PET HF,South,-31,-263,-2016458,-45,-3,-9,-11,-2,-13,-3,2
PET HF,North,-5,-42,-318387,-7,0,-1,-2,0,-2,-1,2
PET HF,South,979,6352,55370388,1136,86,260,337,76,0,108,2
PET HF,South,1687,10891,95420726,1958,149,448,580,131,0,186,2
PET HF,South,2729,17628,154382460,3168,240,724,939,212,0,302,2
PET HF,Central,752,4859,42550643,873,66,200,259,58,0,83,2
RGB HF,South,1286,3143,40753670,184,113,296,857,100,104,478,2
RGB HF,South,17133,41572,543042655,2451,1510,3944,11417,1328,1388,6364,2
RGB HF,South,96,234,3056525,14,8,22,64,7,8,36,2
RGB HF,Central,64,156,2037684,9,6,15,43,5,5,24,2
RGB HF,North,2122,5230,67243556,303,187,488,1414,164,172,788,2
RGB HF,North,3761,9144,119204485,538,331,866,2506,292,305,1397,2
CAN HF,South,167,1063,5882702,311,15,17,58,13,8,25,2
CAN HF,South,251,1589,8824055,466,22,25,86,19,12,37,2
